TechRawName,JobID,DateRaw,HoursRaw
R. Chen,JOB-1001,"May 9, 2026",5.3
TYLER BROOKS,JOB-1002,05/29/2026,1.3
T. Brooks,JOB-1003,"May 27, 2026",4.7
dana ortiz,JOB-1004,2026-05-27,1.8
tyler brooks,JOB-1005,"May 6, 2026",4.7
tyler brooks,JOB-1005,"May 6, 2026",2.2
tyler brooks,JOB-1005,2026-05-07,5.4
tyler brooks,JOB-1005,05/08/2026,1.9
RAY CHEN,JOB-1006,2026-05-18,4.9
RAY CHEN,JOB-1006,05/18/2026,1.0
RAY CHEN,JOB-1006,2026-05-20,2.8
RAY CHEN,JOB-1006,"May 20, 2026",0.8
DANA ORTIZ,JOB-1007,2026-05-07,4.9
DANA ORTIZ,JOB-1007,05/07/2026,4.1
marcus webb,JOB-1008,05/10/2026,2.1
marcus webb,JOB-1008,"May 9, 2026",4.5
marcus webb,JOB-1008,"May 9, 2026",2.2
marcus webb,JOB-1008,"May 9, 2026",3.1
Dana Ortiz,JOB-1009,"May 7, 2026",3.7
D. Ortiz,JOB-1010,"May 16, 2026",6.0
Tyler Brooks,JOB-1011,05/20/2026,2.0
Tyler Brooks,JOB-1011,"May 20, 2026",3.5
Tyler Brooks,JOB-1011,2026-05-22,3.8
Tyler Brooks,JOB-1012,05/11/2026,0.5
Tyler Brooks,JOB-1012,"May 10, 2026",5.9
Tyler Brooks,JOB-1012,"May 10, 2026",2.9
Tyler Brooks,JOB-1012,"May 12, 2026",0.6
Ray Chen,JOB-1013,05/30/2026,5.3
Ray Chen,JOB-1013,2026-05-30,0.6
Ray Chen,JOB-1013,2026-05-31,4.9
Ray Chen,JOB-1013,2026-05-30,1.4
priya patel,JOB-1014,05/11/2026,1.1
priya patel,JOB-1014,05/11/2026,3.7
priya patel,JOB-1014,05/11/2026,1.1
priya patel,JOB-1014,2026-05-12,4.5
priya patel,JOB-1015,"May 19, 2026",2.2
PRIYA PATEL,JOB-1016,"May 14, 2026",3.6
PRIYA PATEL,JOB-1016,"May 16, 2026",5.1
PRIYA PATEL,JOB-1016,2026-05-15,1.7
PRIYA PATEL,JOB-1016,2026-05-15,2.9
Marcus Webb,JOB-1017,2026-05-22,2.8
Marcus Webb,JOB-1017,"May 23, 2026",4.3
Marcus Webb,JOB-1017,2026-05-25,1.8
Marcus Webb,JOB-1017,05/22/2026,4.8
T. Brooks,JOB-1018,2026-05-23,4.6
T. Brooks,JOB-1018,"May 22, 2026",3.2
T. Brooks,JOB-1018,2026-05-21,2.9
T. Brooks,JOB-1018,05/22/2026,2.0
Tyler Brooks,JOB-1019,2026-05-14,2.1
Tyler Brooks,JOB-1019,2026-05-17,3.5
Tyler Brooks,JOB-1019,2026-05-15,1.7
Tyler Brooks,JOB-1019,2026-05-17,0.7
Marcus Webb,JOB-1020,05/07/2026,3.0
Marcus Webb,JOB-1020,2026-05-07,2.0
Marcus Webb,JOB-1020,2026-05-08,5.1
Marcus Webb,JOB-1020,05/08/2026,4.6
TYLER BROOKS,JOB-1021,05/10/2026,3.8
TYLER BROOKS,JOB-1021,05/08/2026,5.8
TYLER BROOKS,JOB-1021,"May 8, 2026",0.6
Tyler Brooks,JOB-1022,"May 6, 2026",2.9
P. Patel,JOB-1023,05/16/2026,5.1
P. Patel,JOB-1023,2026-05-14,5.3
P. Patel,JOB-1023,2026-05-15,3.6
TYLER BROOKS,JOB-1024,"May 20, 2026",4.7
TYLER BROOKS,JOB-1024,"May 20, 2026",4.4
TYLER BROOKS,JOB-1024,05/20/2026,1.0
TYLER BROOKS,JOB-1024,2026-05-18,4.3
RAY CHEN,JOB-1025,05/10/2026,4.6
RAY CHEN,JOB-1025,"May 11, 2026",3.7
Marcus Webb,JOB-1026,2026-05-21,2.9
Marcus Webb,JOB-1026,05/19/2026,1.9
Marcus Webb,JOB-1026,05/21/2026,5.0
T. Brooks,JOB-1027,"May 28, 2026",3.9
T. Brooks,JOB-1027,05/26/2026,3.9
T. Brooks,JOB-1027,"May 28, 2026",0.9
T. Brooks,JOB-1027,05/27/2026,3.5
M. Webb,JOB-1028,2026-05-31,5.0
M. Webb,JOB-1028,05/30/2026,1.4
priya patel,JOB-1029,"May 20, 2026",5.0
priya patel,JOB-1029,05/20/2026,3.1
D. Ortiz,JOB-1030,05/17/2026,2.2
T. Brooks,JOB-1031,2026-05-15,3.5
Tyler Brooks,JOB-1032,"May 5, 2026",4.4
Tyler Brooks,JOB-1032,2026-05-06,5.9
Tyler Brooks,JOB-1032,2026-05-04,3.5
Tyler Brooks,JOB-1032,05/06/2026,5.6
ray chen,JOB-1033,2026-05-10,3.5
ray chen,JOB-1033,2026-05-11,3.5
ray chen,JOB-1033,2026-05-12,5.6
ray chen,JOB-1033,"May 10, 2026",1.8
R. Chen,JOB-1034,05/26/2026,1.2
R. Chen,JOB-1034,05/25/2026,5.3
priya patel,JOB-1035,"May 13, 2026",4.5
priya patel,JOB-1035,"May 14, 2026",0.7
priya patel,JOB-1035,05/11/2026,4.0
priya patel,JOB-1035,05/13/2026,4.6
ray chen,JOB-1036,"May 3, 2026",2.8
ray chen,JOB-1036,05/03/2026,1.5
Marcus Webb,JOB-1037,"Jun 1, 2026",1.9
Marcus Webb,JOB-1037,05/31/2026,6.0
Marcus Webb,JOB-1037,06/01/2026,1.8
TYLER BROOKS,JOB-1038,"May 28, 2026",1.5
TYLER BROOKS,JOB-1038,"May 29, 2026",4.7
TYLER BROOKS,JOB-1038,"May 28, 2026",1.0
ray chen,JOB-1039,"May 8, 2026",5.3
ray chen,JOB-1039,2026-05-06,5.8
ray chen,JOB-1039,05/07/2026,5.2
ray chen,JOB-1039,"May 9, 2026",2.5
MARCUS WEBB,JOB-1040,"May 18, 2026",2.7
MARCUS WEBB,JOB-1040,05/17/2026,5.7
MARCUS WEBB,JOB-1040,2026-05-18,1.1
MARCUS WEBB,JOB-1040,"May 17, 2026",1.2
Priya Patel,JOB-1041,2026-05-30,5.7
Priya Patel,JOB-1041,05/29/2026,5.9
