RawName,Phone,ServiceArea
Ashley Adams,716-563-5783,Central
Ashley Davis,716-734-7125,North
Betty Moore,716-246-3689,West
Charles Allen,716-343-7704,North
Daniel Moore,716-460-4209,South
Edward Young,716-323-7437,South
James Allen,716-668-4122,East
James Walker,716-310-7790,North
Jennifer Taylor,716-848-3018,West
Jennifer Torres,716-668-9260,South
Jennifer White,716-710-1071,Central
Joseph Garcia,716-953-1795,Central
Joseph Johnson,716-643-8912,Central
Joseph Moore,716-999-3903,Central
Karen Davis,716-377-3103,North
Karen Harris,716-596-6273,Central
Karen Hill,716-593-7859,Central
Kimberly Johnson,716-909-5067,East
Kimberly Thomas,716-607-6617,East
Kimberly Wilson,716-663-3185,South
Linda Carter,716-622-9393,East
Lisa Nelson,716-918-9975,East
Maria Torres,716-928-4560,South
Maria Wright,716-414-5760,East
Mark Carter,716-888-3173,South
Mark Garcia,716-715-9888,East
Michael Scott,716-927-2890,East
Michael Wilson,716-775-8870,Central
Nancy Garcia,716-784-7839,Central
Patricia Adams,716-492-7920,North
Patricia Miller,716-735-2744,North
Paul Davis,716-590-3381,North
Paul Johnson,716-886-1927,South
Paul Scott,716-473-3636,East
Robert Garcia,716-899-5105,South
Robert Hill,716-263-5835,South
Robert Torres,716-971-9866,North
Robert Young,716-567-8415,North
Steven King,716-830-4675,Central
Steven Thomas,716-598-4892,Central
Thomas Jackson,716-912-5712,North
Thomas King,716-590-7349,West
William Green,716-901-6122,Central
William Wilson,716-255-1212,East
J. Johnson,716-835-8259,South
